"","Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"1625","53. Births attended by skilled health personnel10 (%)",100,96.2,97,91.5,"Ladakh","","","",""
"1626","54. Births delivered by caesarean section (%)",47.7,35,37.6,16.1,"Ladakh","","","",""
"1627","55. Births in a private health facility that were delivered by caesarean section (%)",NA,NA,NA,NA,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"1628","56. Births in a public health facility that were delivered by caesarean section (%)",47.8,37,39.3,17.1,"Ladakh","","","",""
"1629","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",NA,91.9,88.2,81.9,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1630","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",NA,100,100,92.5,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1631","59. Children age 12-23 months who have received BCG (%)",NA,100,99.1,98.4,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1632","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",NA,91.9,88.2,87,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1633","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",NA,94.8,95,89.7,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1634","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",NA,94.8,92.9,92.2,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1635","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",NA,41.6,43.2,NA,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1636","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",NA,9.9,10.6,NA,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1637","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",NA,94.8,94.1,82.2,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1638","66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",94.2,85.2,87.1,72.7,"Ladakh","","","",""
"1639","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",NA,100,100,100,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1640","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",NA,0,0,0,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1641","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",13.7,7.1,8.5,3.1,"Ladakh","","","",""
"1642","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,88.9,78.3,NA,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"1643","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,53.1,54.5,NA,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"1644","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,79.6,75,NA,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"1645","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",10.5,4,5.3,1,"Ladakh","","","",""
"1646","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",53.1,58.8,57.3,74.8,"Ladakh","Based on 25-49 unweighted cases","","","Based on 25-49 unweighted cases"
"1647","75. Children under age 3 years breastfed within one hour of birth15 (%)",59.2,57.6,57.9,60,"Ladakh","","","",""
"1648","76. Children under age 6 months exclusively breastfed16 (%)",NA,66.6,70.9,64.1,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","",""
"1649","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,NA,NA,42.2,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases"
"1650","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,19.9,20.7,22,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1651","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,NA,NA,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"1652","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",25.3,23.6,24,23.9,"Ladakh","Based on 25-49 unweighted cases","","",""
"1653","81. Children under 5 years who are stunted (height-for-age)18 (%)",28.2,31.1,30.5,30.9,"Ladakh","","","",""
"1654","82. Children under 5 years who are wasted (weight-for-height)18 (%)",14.8,18.2,17.5,9.3,"Ladakh","","","",""
"1655","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",5.8,10,9.1,5.1,"Ladakh","","","",""
"1656","84. Children under 5 years who are underweight (weight-for-age)18 (%)",17,21.2,20.4,18.7,"Ladakh","","","",""
"1657","85. Children under 5 years who are overweight (weight-for-height)20 (%)",17,12.4,13.4,4,"Ladakh","","","",""
"1658","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",3.7,4.5,4.4,10.5,"Ladakh","","","",""
"1659","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",2.7,2,2.1,11.2,"Ladakh","","","",""
"1660","88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",28.5,28.2,28.3,16.3,"Ladakh","","","",""
"1661","89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%)",43.4,36.4,37.8,18.8,"Ladakh","","","",""
"1662","90. Women who have high risk waist-to-hip ratio (≥0.85) (%)",88.6,85.8,86.3,NA,"Ladakh","","","",""
"1663","91. Men who have high risk waist-to-hip ratio (≥0.90) (%)",63.3,60.2,60.8,NA,"Ladakh","","","",""
"1664","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",84.1,95.1,92.5,91.4,"Ladakh","","","",""
"1665","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",91,94.3,93.7,78.4,"Ladakh","","","",""
"1666","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",67.5,80.8,78.1,79.3,"Ladakh","Based on 25-49 unweighted cases","","",""
"1667","95. All women age 15-49 years who are anaemic22 (%)",89.5,93.5,92.8,78.4,"Ladakh","","","",""
"1668","96. All women age 15-19 years who are anaemic22 (%)",92.4,97.8,96.9,81.6,"Ladakh","","","",""
"1669","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",72.4,76.4,75.6,41.2,"Ladakh","","","",""
"1670","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",NA,95.8,93.1,57.6,"Ladakh","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases",""
"1671","99. Blood sugar level - high (141-160 mg/dl)23 (%)",3.4,4,3.9,NA,"Ladakh","","","",""
"1672","100. Blood sugar level - very high (>160 mg/dl)23 (%)",1.7,1.8,1.8,NA,"Ladakh","","","",""
"1673","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",6.4,6.8,6.7,NA,"Ladakh","","","",""
"1674","102. Blood sugar level - high (141-160 mg/dl)23 (%)",3.3,4.7,4.4,NA,"Ladakh","","","",""
"1675","103. Blood sugar level - very high (>160 mg/dl)23 (%)",0.8,2.9,2.5,NA,"Ladakh","","","",""
"1676","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",5.4,8.9,8.3,NA,"Ladakh","","","",""
"1677","105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",8.2,10.9,10.4,NA,"Ladakh","","","",""
"1678","106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",1.6,1.7,1.7,NA,"Ladakh","","","",""
"1679","107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",13.5,16.3,15.7,NA,"Ladakh","","","",""
"1680","108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",8.5,11.9,11.2,NA,"Ladakh","","","",""
"1681","109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",1.5,2.5,2.3,NA,"Ladakh","","","",""
"1682","110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",14.5,18.1,17.4,NA,"Ladakh","","","",""
"1683","111. Ever undergone a screening test for cervical cancer (%)",0.4,0.2,0.3,NA,"Ladakh","","","",""
"1684","112. Ever undergone a breast examination for breast cancer (%)",0,0.2,0.2,NA,"Ladakh","","","",""
"1685","113. Ever undergone an oral cavity examination for oral cancer (%)",0,0.2,0.2,NA,"Ladakh","","","",""
"1686","114. Ever undergone an oral cavity examination for oral cancer (%)",0,0,0,NA,"Ladakh","Based on 25-49 unweighted cases","","",""
"1687","115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",15.6,26.4,24.3,26.4,"Ladakh","","","",""
"1688","116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",54.4,23.7,29.6,12.1,"Ladakh","","","",""
"1689","117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",80.1,72.4,73.9,68.8,"Ladakh","","","",""
"1690","118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",87.8,78.7,80.4,80.6,"Ladakh","","","",""
"1691","119. Currently married women who usually participate in three household decisions25 (%)",81.2,80.3,80.4,87.6,"Ladakh","Based on 25-49 unweighted cases","","",""
"1692","120. Women who worked in the last 12 months and were paid in cash (%)",28.6,28.3,28.3,16.4,"Ladakh","","","",""
"1693","121. Women owning a house and/or land (alone or jointly with others) (%)",69,73,72.2,42.6,"Ladakh","","","",""
"1694","122. Women having a bank or savings account that they themselves use (%)",87.2,88.7,88.4,75.9,"Ladakh","","","",""
"1695","123. Women having a mobile phone that they themselves use (%)",80.8,81.2,81.2,71.2,"Ladakh","","","",""
"1696","124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",90.9,75.2,78.2,64,"Ladakh","","","",""
"1697","125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",11.7,19,18.1,8.5,"Ladakh","Based on 25-49 unweighted cases","","",""
"1698","126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",0,1.2,1.1,0,"Ladakh","Based on 25-49 unweighted cases","","",""
"1699","127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",6.1,9,8.7,1.2,"Ladakh","Based on 25-49 unweighted cases","","",""
"1700","128. Women age 15 years and above who use any kind of tobacco (%)",3.5,3.1,3.2,NA,"Ladakh","","","",""
"1701","129. Men age 15 years and above who use any kind of tobacco (%)",39.8,34.8,35.7,NA,"Ladakh","","","",""
"1702","130. Women age 15 years and above who consume alcohol (%)",5.3,3.4,3.8,NA,"Ladakh","","","",""
"1703","131. Men age 15 years and above who consume alcohol (%)",21.1,24.2,23.6,NA,"Ladakh","","","",""
"1704","1. Female population age 6 years and above who ever attended school (%)",87.2,73.1,79.6,77.4,"Maharashtra","","","",""
"1705","2. Population below age 15 years (%)",21.9,23.6,22.8,24.5,"Maharashtra","","","",""
"1706","3. Sex ratio of the total population (females per 1,000 males)",954,977,966,952,"Maharashtra","","","",""
"1707","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",878,941,913,924,"Maharashtra","","","",""
"1708","5. Children under age 5 years whose birth was registered with the civil authority (%)",96.5,96.1,96.3,95.1,"Maharashtra","","","",""
"1709","6. Deaths in the last 3 years registered with the civil authority (%)",92.9,87.6,89.7,NA,"Maharashtra","","","",""
"1710","7. Population living in households with electricity (%)",99.1,96.7,97.8,93.5,"Maharashtra","","","",""
"1711","8. Population living in households with an improved drinking-water source1 (%)",99.3,88.5,93.5,92.5,"Maharashtra","","","",""
"1712","9. Population living in households that use an improved sanitation facility2 (%)",75.1,69.4,72,52.3,"Maharashtra","","","",""
"1713","10. Households using clean fuel for cooking3 (%)",95.6,65.4,79.7,59.9,"Maharashtra","","","",""
"1714","11. Households using iodized salt (%)",98.3,94.2,96.2,96.4,"Maharashtra","","","",""
"1715","12. Households with any usual member covered under a health insurance/financing scheme (%)",20.1,19.9,20,15,"Maharashtra","","","",""
"1716","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",29.9,27.3,28.4,NA,"Maharashtra","","","",""
"1717","14. Women who are literate4 (%)",90.2,79.5,84.6,NA,"Maharashtra","","","",""
"1718","15. Men who are literate4 (%)",94.6,91.5,93,NA,"Maharashtra","","","",""
"1719","16. Women with 10 or more years of schooling (%)",61.1,40.7,50.4,42,"Maharashtra","","","",""
"1720","17. Men with 10 or more years of schooling (%)",68.3,54.3,61,53.6,"Maharashtra","","","",""
"1721","18. Women who have ever used the internet (%)",54.3,23.7,38,NA,"Maharashtra","","","",""
"1722","19. Men who have ever used the internet (%)",76.8,47.2,61.5,NA,"Maharashtra","","","",""
"1723","20. Women age 20-24 years married before age 18 years (%)",15.7,27.6,21.9,26.3,"Maharashtra","","","",""
"1724","21. Men age 25-29 years married before age 21 years (%)",9.6,11.3,10.5,11.4,"Maharashtra","","","",""
"1725","22. Total fertility rate (children per woman)",1.5,1.9,1.7,1.9,"Maharashtra","","","",""
"1726","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",3.9,10.6,7.6,8.3,"Maharashtra","","","",""
"1727","24. Adolescent fertility rate for women age 15-19 years5",29,63,47,59,"Maharashtra","","","",""
"1728","25. Neonatal mortality rate (NNMR)",15.1,17.6,16.5,16.2,"Maharashtra","","","",""
"1729","26. Infant mortality rate (IMR)",22.6,23.7,23.2,23.7,"Maharashtra","","","",""
"1730","27. Under-five mortality rate (U5MR)",28.2,27.9,28,28.7,"Maharashtra","","","",""
"1731","28. Any method6 (%)",65.8,66.5,66.2,64.8,"Maharashtra","","","",""
"1732","29. Any modern method6 (%)",62.7,64.7,63.8,62.6,"Maharashtra","","","",""
"1733","30. Female sterilization (%)",44,53.3,49.1,50.7,"Maharashtra","","","",""
"1734","31. Male sterilization (%)",0.1,0.6,0.4,0.4,"Maharashtra","","","",""
"1735","32. IUD/PPIUD (%)",2.2,1.6,1.9,1.6,"Maharashtra","","","",""
"1736","33. Pill (%)",1.9,1.7,1.8,2.4,"Maharashtra","","","",""
"1737","34. Condom (%)",14.1,7.1,10.2,7.1,"Maharashtra","","","",""
"1738","35. Injectables (%)",0.2,0.2,0.2,0.2,"Maharashtra","","","",""
"1739","36. Total unmet need7 (%)",9.9,9.3,9.6,9.7,"Maharashtra","","","",""
"1740","37. Unmet need for spacing7 (%)",4,3.8,3.9,4.3,"Maharashtra","","","",""
"1741","38. Health worker ever talked to female non-users about family planning (%)",21.7,22.1,21.9,18.5,"Maharashtra","","","",""
"1742","39. Current users ever told about side effects of current method8 (%)",51.2,52.8,52.1,36.3,"Maharashtra","","","",""
"1743","40. Mothers who had an antenatal check-up in the first trimester (%)",69.5,72,70.9,67.6,"Maharashtra","","","",""
"1744","41. Mothers who had at least 4 antenatal care visits (%)",72.2,68.7,70.3,72.2,"Maharashtra","","","",""
"1745","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",91.2,89.3,90.1,90.4,"Maharashtra","","","",""
"1746","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",51.4,45.7,48.2,40.6,"Maharashtra","","","",""
"1747","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",33.6,28.8,30.9,28,"Maharashtra","","","",""
"1748","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",93.8,96.8,95.5,90.9,"Maharashtra","","","",""
"1749","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",87.3,83.8,85.4,78.5,"Maharashtra","","","",""
"1750","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",3390,2675,2966,3578,"Maharashtra","","","",""
"1751","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",5.6,7.2,6.8,6.4,"Maharashtra","","","",""
"1752","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",91.2,87.4,89.1,NA,"Maharashtra","","","",""
"1753","50. Institutional births (%)",96.7,93.1,94.7,90.3,"Maharashtra","","","",""
"1754","51. Institutional births in public facility (%)",50.8,59.5,55.8,48.9,"Maharashtra","","","",""
"1755","52. Home births that were conducted by skilled health personnel10 (%)",1.1,2.6,2,3.6,"Maharashtra","","","",""
"1756","53. Births attended by skilled health personnel10 (%)",95.9,92.2,93.8,91.1,"Maharashtra","","","",""
"1757","54. Births delivered by caesarean section (%)",30.6,21.5,25.4,20.1,"Maharashtra","","","",""
"1758","55. Births in a private health facility that were delivered by caesarean section (%)",40.9,37.3,39.1,33.1,"Maharashtra","","","",""
"1759","56. Births in a public health facility that were delivered by caesarean section (%)",23.2,15.1,18.3,13.1,"Maharashtra","","","",""
"1760","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",71.7,74.7,73.5,56.2,"Maharashtra","","","",""
"1761","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",81.6,81.7,81.7,78.4,"Maharashtra","","","",""
"1762","59. Children age 12-23 months who have received BCG (%)",92,95.1,93.8,90,"Maharashtra","","","",""
"1763","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",76.4,80.9,79,67,"Maharashtra","","","",""
"1764","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",81.5,84.8,83.4,74.9,"Maharashtra","","","",""
"1765","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",82.7,86.2,84.7,82.8,"Maharashtra","","","",""
"1766","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",22.5,29.1,26.3,NA,"Maharashtra","","","",""
"1767","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",7.2,8.9,8.2,NA,"Maharashtra","","","",""
"1768","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",74.3,76.6,75.6,60.8,"Maharashtra","","","",""
"1769","66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",72.4,72,72.2,73.6,"Maharashtra","","","",""
"1770","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",82.2,94.6,89.5,86.2,"Maharashtra","","","",""
"1771","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",17.3,4.8,10,13.6,"Maharashtra","","","",""
"1772","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",6.6,10.7,8.9,8.5,"Maharashtra","","","",""
"1773","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",64.3,57.3,59.5,60.5,"Maharashtra","","","",""
"1774","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",25.7,28.1,27.3,13,"Maharashtra","","","",""
"1775","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",73.9,71.6,72.3,77.6,"Maharashtra","","","",""
"1776","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",2.4,3.8,3.2,2.4,"Maharashtra","","","",""
"1777","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",81.2,75.1,77.5,84.7,"Maharashtra","","","",""
"1778","75. Children under age 3 years breastfed within one hour of birth15 (%)",51.8,54.3,53.2,57.5,"Maharashtra","","","",""
"1779","76. Children under age 6 months exclusively breastfed16 (%)",66.9,74.1,71,56.6,"Maharashtra","","","",""
"1780","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",49.9,54.8,52.7,43.3,"Maharashtra","","","",""
"1781","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",8.5,8.4,8.4,5.3,"Maharashtra","","","",""
"1782","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",11.8,12.1,12,12.2,"Maharashtra","","","",""
"1783","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",9.2,9,9,6.5,"Maharashtra","","","",""
"1784","81. Children under 5 years who are stunted (height-for-age)18 (%)",34.9,35.5,35.2,34.4,"Maharashtra","","","",""
"1785","82. Children under 5 years who are wasted (weight-for-height)18 (%)",23,27.3,25.6,25.6,"Maharashtra","","","",""
"1786","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",9.5,11.9,10.9,9.4,"Maharashtra","","","",""
"1787","84. Children under 5 years who are underweight (weight-for-age)18 (%)",33.3,38,36.1,36,"Maharashtra","","","",""
"1788","85. Children under 5 years who are overweight (weight-for-height)20 (%)",5.2,3.4,4.1,1.9,"Maharashtra","","","",""
"1789","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",15.8,25,20.8,23.5,"Maharashtra","","","",""
"1790","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",15.3,16.9,16.2,19.1,"Maharashtra","","","",""
"1791","88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",29.6,18.3,23.4,23.4,"Maharashtra","","","",""
"1792","89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%)",28.9,21.3,24.7,23.8,"Maharashtra","","","",""
"1793","90. Women who have high risk waist-to-hip ratio (≥0.85) (%)",51.5,38.6,44.5,NA,"Maharashtra","","","",""
"1794","91. Men who have high risk waist-to-hip ratio (≥0.90) (%)",43.2,38.7,40.7,NA,"Maharashtra","","","",""
"1795","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",66.3,70.7,68.9,53.8,"Maharashtra","","","",""
"1796","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",52.3,56.4,54.5,47.9,"Maharashtra","","","",""
"1797","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",44.2,46.5,45.7,49.3,"Maharashtra","","","",""
"1798","95. All women age 15-49 years who are anaemic22 (%)",52,56.1,54.2,48,"Maharashtra","","","",""
"1799","96. All women age 15-19 years who are anaemic22 (%)",56.4,57.7,57.2,49.7,"Maharashtra","","","",""
"1800","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",17.4,25.4,21.9,17.7,"Maharashtra","","","",""
"1801","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",19,34.2,27.9,27.5,"Maharashtra","","","",""
"1802","99. Blood sugar level - high (141-160 mg/dl)23 (%)",6.2,5.2,5.7,NA,"Maharashtra","","","",""
"1803","100. Blood sugar level - very high (>160 mg/dl)23 (%)",6.5,4.5,5.4,NA,"Maharashtra","","","",""
"1804","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",14.6,10.7,12.4,NA,"Maharashtra","","","",""
"1805","102. Blood sugar level - high (141-160 mg/dl)23 (%)",7,6.2,6.5,NA,"Maharashtra","","","",""
"1806","103. Blood sugar level - very high (>160 mg/dl)23 (%)",6.8,5.2,5.9,NA,"Maharashtra","","","",""
"1807","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",15.3,12.4,13.6,NA,"Maharashtra","","","",""
"1808","105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",14.1,13.4,13.7,NA,"Maharashtra","","","",""
"1809","106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",4.4,5.5,5,NA,"Maharashtra","","","",""
"1810","107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",23.8,22.6,23.1,NA,"Maharashtra","","","",""
"1811","108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",16.8,15.4,16,NA,"Maharashtra","","","",""
"1812","109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",5,5.5,5.3,NA,"Maharashtra","","","",""
"1813","110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",25.7,23.5,24.4,NA,"Maharashtra","","","",""
"1814","111. Ever undergone a screening test for cervical cancer (%)",2.5,2.1,2.3,NA,"Maharashtra","","","",""
"1815","112. Ever undergone a breast examination for breast cancer (%)",1.6,1,1.3,NA,"Maharashtra","","","",""
"1816","113. Ever undergone an oral cavity examination for oral cancer (%)",1.7,0.9,1.3,NA,"Maharashtra","","","",""
"1817","114. Ever undergone an oral cavity examination for oral cancer (%)",0.5,0.6,0.6,NA,"Maharashtra","","","",""
"1818","115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",39.2,30.1,34.4,30,"Maharashtra","","","",""
"1819","116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",50.7,35.1,42.6,44.5,"Maharashtra","","","",""
"1820","117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",76.3,68.5,72.1,67.9,"Maharashtra","","","",""
"1821","118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",89.6,79.8,84.5,86.4,"Maharashtra","","","",""
"1822","119. Currently married women who usually participate in three household decisions25 (%)",90.7,89.2,89.8,89.3,"Maharashtra","","","",""
"1823","120. Women who worked in the last 12 months and were paid in cash (%)",29.1,39.6,34.7,28.9,"Maharashtra","","","",""
"1824","121. Women owning a house and/or land (alone or jointly with others) (%)",21.1,24.5,22.9,34.3,"Maharashtra","","","",""
"1825","122. Women having a bank or savings account that they themselves use (%)",75,70.9,72.8,45.3,"Maharashtra","","","",""
"1826","123. Women having a mobile phone that they themselves use (%)",68.2,43.1,54.8,45.6,"Maharashtra","","","",""
"1827","124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",90.2,80.1,84.8,66.1,"Maharashtra","","","",""
"1828","125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",21,28.6,25.2,21.3,"Maharashtra","","","",""
"1829","126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",2.5,4,3.3,2.9,"Maharashtra","","","",""
"1830","127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",4.5,7.6,6.2,2.9,"Maharashtra","","","",""
"1831","128. Women age 15 years and above who use any kind of tobacco (%)",6.6,14.7,10.9,NA,"Maharashtra","","","",""
"1832","129. Men age 15 years and above who use any kind of tobacco (%)",26.2,40.6,33.8,NA,"Maharashtra","","","",""
"1833","130. Women age 15 years and above who consume alcohol (%)",0.3,0.5,0.4,NA,"Maharashtra","","","",""
"1834","131. Men age 15 years and above who consume alcohol (%)",13,14.7,13.9,NA,"Maharashtra","","","",""
