"Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",25.5,25.7,25.6,12.5,"Nagaland",NA,NA,NA,NA
"116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",30.7,45.6,40.1,24.1,"Nagaland",NA,NA,NA,NA
"117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",62.9,60.5,61.4,39.9,"Nagaland",NA,NA,NA,NA
"118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",56.1,75.8,68.5,63.6,"Nagaland",NA,NA,NA,NA
"119. Currently married women who usually participate in three household decisions25 (%)",98.1,99.8,99.2,97.4,"Nagaland",NA,NA,NA,NA
"120. Women who worked in the last 12 months and were paid in cash (%)",28.6,20.7,23.6,22.7,"Nagaland",NA,NA,NA,NA
"121. Women owning a house and/or land (alone or jointly with others) (%)",23.4,28.9,26.9,35.2,"Nagaland",NA,NA,NA,NA
"122. Women having a bank or savings account that they themselves use (%)",77.9,55.4,63.7,38.8,"Nagaland",NA,NA,NA,NA
"123. Women having a mobile phone that they themselves use (%)",93,76.3,82.5,70.4,"Nagaland",NA,NA,NA,NA
"124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",87.1,76.6,80.2,72.4,"Nagaland",NA,NA,NA,NA
"125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",5.2,7,6.4,13.1,"Nagaland",NA,NA,NA,NA
"126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",0,0.6,0.4,1.5,"Nagaland",NA,NA,NA,NA
"127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",2.4,1.3,1.6,7.6,"Nagaland",NA,NA,NA,NA
"128. Women age 15 years and above who use any kind of tobacco (%)",16,12.6,13.7,NA,"Nagaland",NA,NA,NA,NA
"129. Men age 15 years and above who use any kind of tobacco (%)",47.4,48.9,48.4,NA,"Nagaland",NA,NA,NA,NA
"130. Women age 15 years and above who consume alcohol (%)",1.5,0.7,0.9,NA,"Nagaland",NA,NA,NA,NA
"131. Men age 15 years and above who consume alcohol (%)",26.8,22.5,24,NA,"Nagaland",NA,NA,NA,NA
"1. Female population age 6 years and above who ever attended school (%)",90.3,79.5,83.7,79.7,"Sikkim",NA,NA,NA,NA
"2. Population below age 15 years (%)",19.2,19.7,19.5,23.1,"Sikkim",NA,NA,NA,NA
"3. Sex ratio of the total population (females per 1,000 males)",1033,964,990,942,"Sikkim",NA,NA,NA,NA
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",NA,746,969,809,"Sikkim","Based on 25-49 unweighted cases",NA,NA,NA
"5. Children under age 5 years whose birth was registered with the civil authority (%)",95.4,97.2,96.5,98.5,"Sikkim",NA,NA,NA,NA
"6. Deaths in the last 3 years registered with the civil authority (%)",64.6,79.7,75.5,NA,"Sikkim","Based on 25-49 unweighted cases",NA,NA,NA
"7. Population living in households with electricity (%)",99.5,99.1,99.3,99.4,"Sikkim",NA,NA,NA,NA
"8. Population living in households with an improved drinking-water source1 (%)",97.6,89.9,92.8,97.8,"Sikkim",NA,NA,NA,NA
"9. Population living in households that use an improved sanitation facility2 (%)",84,89.3,87.3,89.7,"Sikkim",NA,NA,NA,NA
"10. Households using clean fuel for cooking3 (%)",97.5,64.4,78.4,59.1,"Sikkim",NA,NA,NA,NA
"11. Households using iodized salt (%)",97.9,98.5,98.3,99.6,"Sikkim",NA,NA,NA,NA
"12. Households with any usual member covered under a health insurance/financing scheme (%)",31.2,21.6,25.7,30.3,"Sikkim",NA,NA,NA,NA
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",NA,41.6,41.2,NA,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"14. Women who are literate4 (%)",92.8,86.2,88.9,NA,"Sikkim",NA,NA,NA,NA
"15. Men who are literate4 (%)",96.9,90.3,93,NA,"Sikkim",NA,NA,NA,NA
"16. Women with 10 or more years of schooling (%)",60.2,41.2,49,40.7,"Sikkim",NA,NA,NA,NA
"17. Men with 10 or more years of schooling (%)",70.7,44.2,55,45.1,"Sikkim",NA,NA,NA,NA
"18. Women who have ever used the internet (%)",90,68.1,76.7,NA,"Sikkim",NA,NA,NA,NA
"19. Men who have ever used the internet (%)",94.2,69.5,78.2,NA,"Sikkim","Based on 25-49 unweighted cases",NA,NA,NA
"20. Women age 20-24 years married before age 18 years (%)",8.5,12.5,10.8,15,"Sikkim",NA,NA,NA,NA
"21. Men age 25-29 years married before age 21 years (%)",NA,11.7,5.1,10.7,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"22. Total fertility rate (children per woman)",0.7,1.3,1.1,1.2,"Sikkim",NA,NA,NA,NA
"23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",0.9,4.3,3.1,2.8,"Sikkim",NA,NA,NA,NA
"24. Adolescent fertility rate for women age 15-19 years5",19,24,22,22,"Sikkim",NA,NA,NA,NA
"25. Neonatal mortality rate (NNMR)",NA,7.8,5,20.8,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"26. Infant mortality rate (IMR)",NA,17.8,11.2,29.5,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"27. Under-five mortality rate (U5MR)",NA,17.8,11.2,32.2,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"28. Any method6 (%)",55.5,77.3,69.1,46.7,"Sikkim",NA,NA,NA,NA
"29. Any modern method6 (%)",43.6,61.8,54.9,45.9,"Sikkim",NA,NA,NA,NA
"30. Female sterilization (%)",14.3,14.6,14.5,17.6,"Sikkim",NA,NA,NA,NA
"31. Male sterilization (%)",0.4,2.5,1.7,3.4,"Sikkim",NA,NA,NA,NA
"32. IUD/PPIUD (%)",4.6,7.1,6.2,6.3,"Sikkim",NA,NA,NA,NA
"33. Pill (%)",9.7,23.4,18.2,11.6,"Sikkim",NA,NA,NA,NA
"34. Condom (%)",10.7,8.4,9.3,5.2,"Sikkim",NA,NA,NA,NA
"35. Injectables (%)",3.9,3.2,3.5,1.9,"Sikkim",NA,NA,NA,NA
"36. Total unmet need7 (%)",18.2,8.2,11.9,21.7,"Sikkim",NA,NA,NA,NA
"37. Unmet need for spacing7 (%)",8.4,2.9,4.9,8.9,"Sikkim",NA,NA,NA,NA
"38. Health worker ever talked to female non-users about family planning (%)",17.2,20.7,18.9,19.6,"Sikkim",NA,NA,NA,NA
"39. Current users ever told about side effects of current method8 (%)",63.2,59.7,60.8,57.9,"Sikkim","Based on 25-49 unweighted cases",NA,NA,NA
"40. Mothers who had an antenatal check-up in the first trimester (%)",58.5,66.5,63.7,76.2,"Sikkim",NA,NA,NA,NA
"41. Mothers who had at least 4 antenatal care visits (%)",51.4,62.3,58.4,74.7,"Sikkim",NA,NA,NA,NA
"42. Mothers whose last birth was protected against neonatal tetanus9 (%)",92.2,91.8,92,97.2,"Sikkim",NA,NA,NA,NA
"43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",48.4,58.2,54.7,52.8,"Sikkim",NA,NA,NA,NA
"44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",29.6,32.5,31.5,26.8,"Sikkim",NA,NA,NA,NA
"45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",96.1,93.8,94.6,99.1,"Sikkim",NA,NA,NA,NA
"46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",58.9,75,69.3,74.2,"Sikkim",NA,NA,NA,NA
"47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",NA,8028,8334,3993,"Sikkim","Based on 25-49 unweighted cases",NA,NA,NA
"48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,NA,0,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases"
"49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",56.2,71.7,66.2,NA,"Sikkim",NA,NA,NA,NA
"50. Institutional births (%)",92,96.3,94.7,94.7,"Sikkim",NA,NA,NA,NA
"51. Institutional births in public facility (%)",66.6,85.6,78.6,82.7,"Sikkim",NA,NA,NA,NA
"52. Home births that were conducted by skilled health personnel10 (%)",4,1.9,2.6,2.4,"Sikkim",NA,NA,NA,NA
"53. Births attended by skilled health personnel10 (%)",93.5,98.2,96.5,97.1,"Sikkim",NA,NA,NA,NA
"54. Births delivered by caesarean section (%)",43.1,26.9,32.8,20.9,"Sikkim",NA,NA,NA,NA
"55. Births in a private health facility that were delivered by caesarean section (%)",NA,44,55.4,49.3,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"56. Births in a public health facility that were delivered by caesarean section (%)",40.4,25.9,30.4,18.1,"Sikkim",NA,NA,NA,NA
"57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",NA,83.2,80.6,83,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",NA,88.7,87.6,94.2,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"59. Children age 12-23 months who have received BCG (%)",NA,95.3,96.6,98.9,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",NA,89.9,89,87.7,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",NA,88,91.4,93,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",NA,91.9,90.5,93.3,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",NA,34.2,29,NA,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",NA,0,0,NA,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",NA,86.8,89.1,84.1,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",92.6,85,87.5,86.7,"Sikkim","Based on 25-49 unweighted cases",NA,NA,NA
"67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",NA,100,100,94.1,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",NA,0,0,5.9,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",9.3,3.3,5.5,1.8,"Sikkim",NA,NA,NA,NA
"70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,NA,64.2,NA,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,NA,50,NA,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,NA,56.6,NA,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",0.8,0.7,0.7,0.3,"Sikkim",NA,NA,NA,NA
"74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,57.4,59.5,63.8,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,"Based on 25-49 unweighted cases"
"75. Children under age 3 years breastfed within one hour of birth15 (%)",32.9,33.1,33,66.5,"Sikkim","Based on 25-49 unweighted cases",NA,NA,NA
"76. Children under age 6 months exclusively breastfed16 (%)",NA,29.7,28.3,54.6,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,58.2,57.4,61.8,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases",NA
"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,29,23,23.1,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,35,NA,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",NA,31.9,24.7,23.1,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"81. Children under 5 years who are stunted (height-for-age)18 (%)",15.1,25.6,22.3,29.6,"Sikkim",NA,NA,NA,NA
"82. Children under 5 years who are wasted (weight-for-height)18 (%)",13.2,13.9,13.7,14.2,"Sikkim",NA,NA,NA,NA
"83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",6.4,6.7,6.6,5.9,"Sikkim",NA,NA,NA,NA
"84. Children under 5 years who are underweight (weight-for-age)18 (%)",9,14.9,13.1,14.2,"Sikkim",NA,NA,NA,NA
"85. Children under 5 years who are overweight (weight-for-height)20 (%)",3.5,12.2,9.6,8.6,"Sikkim",NA,NA,NA,NA
"86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",6.1,5.6,5.8,6.4,"Sikkim",NA,NA,NA,NA
"87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",5.8,4.4,4.9,2.4,"Sikkim",NA,NA,NA,NA
"88. Women who are overweight or obese (BMI =25.0 kg/m2)21 (%)",41,30.8,34.7,26.7,"Sikkim",NA,NA,NA,NA
"89. Men who are overweight or obese (BMI =25.0 kg/m2) (%)",40.1,33.9,36.3,34.8,"Sikkim",NA,NA,NA,NA
"90. Women who have high risk waist-to-hip ratio (=0.85) (%)",71.9,78,75.6,NA,"Sikkim",NA,NA,NA,NA
"91. Men who have high risk waist-to-hip ratio (=0.90) (%)",36.6,69.3,56.7,NA,"Sikkim",NA,NA,NA,NA
"92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",54.8,57.1,56.4,55.1,"Sikkim",NA,NA,NA,NA
"93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",42.2,42,42.1,35.2,"Sikkim",NA,NA,NA,NA
"94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",NA,34,40.7,23.6,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"95. All women age 15-49 years who are anaemic22 (%)",42.4,41.9,42.1,34.9,"Sikkim",NA,NA,NA,NA
"96. All women age 15-19 years who are anaemic22 (%)",53,43.7,46.7,48.7,"Sikkim","Based on 25-49 unweighted cases",NA,NA,NA
"97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",15,21,18.7,15.8,"Sikkim",NA,NA,NA,NA
"98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",NA,23.1,17.6,16.7,"Sikkim","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases",NA,NA
"99. Blood sugar level - high (141-160 mg/dl)23 (%)",7.6,5.5,6.2,NA,"Sikkim",NA,NA,NA,NA
"100. Blood sugar level - very high (>160 mg/dl)23 (%)",4.9,4.5,4.7,NA,"Sikkim",NA,NA,NA,NA
"101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",14.6,10.9,12.2,NA,"Sikkim",NA,NA,NA,NA
"102. Blood sugar level - high (141-160 mg/dl)23 (%)",6.9,7.7,7.5,NA,"Sikkim",NA,NA,NA,NA
"103. Blood sugar level - very high (>160 mg/dl)23 (%)",8.1,6.4,7,NA,"Sikkim",NA,NA,NA,NA
"104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",16.2,15.5,15.7,NA,"Sikkim",NA,NA,NA,NA
"105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",16.7,19.5,18.5,NA,"Sikkim",NA,NA,NA,NA
"106. Moderately or severely elevated blood pressure (Systolic =160 mm of Hg and/or Diastolic =100 mm of Hg) (%)",10.7,12.4,11.8,NA,"Sikkim",NA,NA,NA,NA
"107. Elevated blood pressure (Systolic =140 mm of Hg and/or Diastolic =90 mm of Hg) or taking medicine to control blood pressure (%)",32.3,35.8,34.5,NA,"Sikkim",NA,NA,NA,NA
"108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",24.5,25.2,25,NA,"Sikkim",NA,NA,NA,NA
"109. Moderately or severely elevated blood pressure (Systolic =160 mm of Hg and/or Diastolic =100 mm of Hg) (%)",11.1,15.2,13.9,NA,"Sikkim",NA,NA,NA,NA
"110. Elevated blood pressure (Systolic =140 mm of Hg and/or Diastolic =90 mm of Hg) or taking medicine to control blood pressure (%)",38.6,43.1,41.6,NA,"Sikkim",NA,NA,NA,NA
"111. Ever undergone a screening test for cervical cancer (%)",0.7,0.5,0.6,NA,"Sikkim",NA,NA,NA,NA
"112. Ever undergone a breast examination for breast cancer (%)",0,0.2,0.1,NA,"Sikkim",NA,NA,NA,NA
"113. Ever undergone an oral cavity examination for oral cancer (%)",1.4,0.4,0.8,NA,"Sikkim",NA,NA,NA,NA
"114. Ever undergone an oral cavity examination for oral cancer (%)",7.1,2.3,4,NA,"Sikkim","Based on 25-49 unweighted cases",NA,NA,NA
"115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",34.1,17.2,23.9,25.5,"Sikkim",NA,NA,NA,NA
"116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",23.4,15.2,18.5,36.1,"Sikkim",NA,NA,NA,NA
"117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",80.1,67.1,72.2,62.7,"Sikkim",NA,NA,NA,NA
"118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",80,86.2,83.7,72.9,"Sikkim",NA,NA,NA,NA
"119. Currently married women who usually participate in three household decisions25 (%)",80.5,93.9,89.7,95.3,"Sikkim","Based on 25-49 unweighted cases",NA,NA,NA
"120. Women who worked in the last 12 months and were paid in cash (%)",38.1,29.3,32.7,19.9,"Sikkim",NA,NA,NA,NA
"121. Women owning a house and/or land (alone or jointly with others) (%)",56.9,50.6,53.1,24.8,"Sikkim",NA,NA,NA,NA
"122. Women having a bank or savings account that they themselves use (%)",76,76.7,76.4,63.5,"Sikkim",NA,NA,NA,NA
"123. Women having a mobile phone that they themselves use (%)",96.9,83.3,88.6,79.8,"Sikkim",NA,NA,NA,NA
"124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",87.1,85.7,86.3,84.6,"Sikkim",NA,NA,NA,NA
"125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",13.1,11.7,12.1,2.6,"Sikkim","Based on 25-49 unweighted cases",NA,NA,NA
"126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",0.4,2.4,1.9,0.4,"Sikkim","Based on 25-49 unweighted cases",NA,NA,NA
"127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",3.2,3.1,3.2,1.4,"Sikkim","Based on 25-49 unweighted cases",NA,NA,NA
"128. Women age 15 years and above who use any kind of tobacco (%)",7.9,14.1,11.7,NA,"Sikkim",NA,NA,NA,NA
"129. Men age 15 years and above who use any kind of tobacco (%)",38,43.3,41.3,NA,"Sikkim",NA,NA,NA,NA
"130. Women age 15 years and above who consume alcohol (%)",12.7,18.4,16.2,NA,"Sikkim",NA,NA,NA,NA
"131. Men age 15 years and above who consume alcohol (%)",37.6,41.1,39.8,NA,"Sikkim",NA,NA,NA,NA
"1. Female population age 6 years and above who ever attended school (%)",75.9,52.4,60.9,62.6,"Telangana",NA,NA,NA,NA
"2. Population below age 15 years (%)",23.4,22,22.5,25.1,"Telangana",NA,NA,NA,NA
"3. Sex ratio of the total population (females per 1,000 males)",1015,1070,1049,1007,"Telangana",NA,NA,NA,NA
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",873,907,894,872,"Telangana",NA,NA,NA,NA
"5. Children under age 5 years whose birth was registered with the civil authority (%)",92.9,88,90,83.1,"Telangana",NA,NA,NA,NA
"6. Deaths in the last 3 years registered with the civil authority (%)",79,71.3,73.5,NA,"Telangana",NA,NA,NA,NA
"7. Population living in households with electricity (%)",99.8,99.4,99.6,98.9,"Telangana",NA,NA,NA,NA
"8. Population living in households with an improved drinking-water source1 (%)",99.4,98.4,98.7,97.7,"Telangana",NA,NA,NA,NA
"9. Population living in households that use an improved sanitation facility2 (%)",81.8,72.9,76.2,52.3,"Telangana",NA,NA,NA,NA
"10. Households using clean fuel for cooking3 (%)",98.2,88.3,91.8,67.3,"Telangana",NA,NA,NA,NA
"11. Households using iodized salt (%)",97.8,94.8,95.8,95.8,"Telangana",NA,NA,NA,NA
"12. Households with any usual member covered under a health insurance/financing scheme (%)",52.9,65,60.8,66.4,"Telangana",NA,NA,NA,NA
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",16.7,14.3,15.3,NA,"Telangana",NA,NA,NA,NA
"14. Women who are literate4 (%)",81,58.1,66.6,NA,"Telangana",NA,NA,NA,NA
"15. Men who are literate4 (%)",90.2,81.3,84.8,NA,"Telangana",NA,NA,NA,NA
"16. Women with 10 or more years of schooling (%)",60.9,36.3,45.5,43.6,"Telangana",NA,NA,NA,NA
"17. Men with 10 or more years of schooling (%)",71,54.6,61.2,54.5,"Telangana",NA,NA,NA,NA
"18. Women who have ever used the internet (%)",43.9,15.8,26.5,NA,"Telangana",NA,NA,NA,NA
"19. Men who have ever used the internet (%)",72.3,46.7,57.4,NA,"Telangana",NA,NA,NA,NA
"20. Women age 20-24 years married before age 18 years (%)",16.7,27.4,23.5,26.2,"Telangana",NA,NA,NA,NA
"21. Men age 25-29 years married before age 21 years (%)",9.1,21.1,16.3,17.8,"Telangana",NA,NA,NA,NA
"22. Total fertility rate (children per woman)",1.8,1.7,1.8,1.8,"Telangana",NA,NA,NA,NA
"23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",3.1,7.4,5.8,10.6,"Telangana",NA,NA,NA,NA
"24. Adolescent fertility rate for women age 15-19 years5",34,56,48,67,"Telangana",NA,NA,NA,NA
"25. Neonatal mortality rate (NNMR)",13.8,18.8,16.8,20,"Telangana",NA,NA,NA,NA
"26. Infant mortality rate (IMR)",22,29.3,26.4,27.7,"Telangana",NA,NA,NA,NA
"27. Under-five mortality rate (U5MR)",24.7,32.4,29.4,31.7,"Telangana",NA,NA,NA,NA
"28. Any method6 (%)",69,67.6,68.1,57.2,"Telangana",NA,NA,NA,NA
"29. Any modern method6 (%)",66.9,66.5,66.7,57,"Telangana",NA,NA,NA,NA
"30. Female sterilization (%)",61.3,62.2,61.9,54.2,"Telangana",NA,NA,NA,NA
"31. Male sterilization (%)",1.4,2.3,2,1.6,"Telangana",NA,NA,NA,NA
"32. IUD/PPIUD (%)",1,0.2,0.5,0.4,"Telangana",NA,NA,NA,NA
"33. Pill (%)",1.2,0.5,0.8,0.3,"Telangana",NA,NA,NA,NA
"34. Condom (%)",1.3,0.5,0.8,0.5,"Telangana",NA,NA,NA,NA
"35. Injectables (%)",0.1,0.1,0.1,0,"Telangana",NA,NA,NA,NA
"36. Total unmet need7 (%)",7.1,6.1,6.4,7.4,"Telangana",NA,NA,NA,NA
"37. Unmet need for spacing7 (%)",3.1,2.6,2.8,3.8,"Telangana",NA,NA,NA,NA
"38. Health worker ever talked to female non-users about family planning (%)",17.2,16.9,17,9.6,"Telangana",NA,NA,NA,NA
"39. Current users ever told about side effects of current method8 (%)",52.4,47.2,49.2,25.1,"Telangana",NA,NA,NA,NA
"40. Mothers who had an antenatal check-up in the first trimester (%)",89.8,87.6,88.5,83.1,"Telangana",NA,NA,NA,NA
"41. Mothers who had at least 4 antenatal care visits (%)",71.1,70,70.4,74.9,"Telangana",NA,NA,NA,NA
"42. Mothers whose last birth was protected against neonatal tetanus9 (%)",89.5,89.7,89.6,88.8,"Telangana",NA,NA,NA,NA
"43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",63.2,54.6,57.9,52.7,"Telangana",NA,NA,NA,NA
"44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",37,32.7,34.4,28.8,"Telangana",NA,NA,NA,NA
"45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",94.8,97.8,96.7,89.1,"Telangana",NA,NA,NA,NA
"46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",88,87.3,87.6,81.7,"Telangana",NA,NA,NA,NA
"47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",3594,3966,3846,4218,"Telangana",NA,NA,NA,NA
"48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,14.6,15.6,9,"Telangana","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",91.5,88.9,90,NA,"Telangana",NA,NA,NA,NA
"50. Institutional births (%)",97.7,96.6,97,91.5,"Telangana",NA,NA,NA,NA
"51. Institutional births in public facility (%)",43.4,53.6,49.7,30.5,"Telangana",NA,NA,NA,NA
"52. Home births that were conducted by skilled health personnel10 (%)",0.7,1.7,1.3,2.8,"Telangana",NA,NA,NA,NA
"53. Births attended by skilled health personnel10 (%)",94.6,92.9,93.6,91.3,"Telangana",NA,NA,NA,NA
"54. Births delivered by caesarean section (%)",64.3,58.4,60.7,57.7,"Telangana",NA,NA,NA,NA
"55. Births in a private health facility that were delivered by caesarean section (%)",82.7,80.6,81.5,74.5,"Telangana",NA,NA,NA,NA
"56. Births in a public health facility that were delivered by caesarean section (%)",44.8,44.3,44.5,40.3,"Telangana",NA,NA,NA,NA
"57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",74.7,81.5,79.1,67.5,"Telangana",NA,NA,NA,NA
"58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",85.7,88.3,87.4,79.1,"Telangana",NA,NA,NA,NA
"59. Children age 12-23 months who have received BCG (%)",90.4,95.3,93.5,97.4,"Telangana",NA,NA,NA,NA
"60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",77,84,81.6,75.2,"Telangana",NA,NA,NA,NA
"61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",84.3,91.9,89.2,87.9,"Telangana",NA,NA,NA,NA
