"","Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"1405","95. All women age 15-49 years who are anaemic22 (%)",51.8,54.3,53.8,56.2,"Meghalaya","","","",""
"1406","96. All women age 15-19 years who are anaemic22 (%)",44.6,54.6,52.5,52.1,"Meghalaya","","","",""
"1407","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",16.1,27.4,25.5,32.4,"Meghalaya","","","",""
"1408","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",7.4,35,30.1,25.2,"Meghalaya","Based on 25-49 unweighted cases","","",""
"1409","99. Blood sugar level - high (141-160 mg/dl)23 (%)",3,5.5,5,NA,"Meghalaya","","","",""
"1410","100. Blood sugar level - very high (>160 mg/dl)23 (%)",4.8,2.5,3,NA,"Meghalaya","","","",""
"1411","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",10.3,9.3,9.5,NA,"Meghalaya","","","",""
"1412","102. Blood sugar level - high (141-160 mg/dl)23 (%)",6.6,9,8.6,NA,"Meghalaya","","","",""
"1413","103. Blood sugar level - very high (>160 mg/dl)23 (%)",7.6,3.5,4.2,NA,"Meghalaya","","","",""
"1414","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",16,13.4,13.9,NA,"Meghalaya","","","",""
"1415","105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",13.6,9,10,NA,"Meghalaya","","","",""
"1416","106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",4.9,3.6,3.9,NA,"Meghalaya","","","",""
"1417","107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",24.6,17.1,18.7,NA,"Meghalaya","","","",""
"1418","108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",17.8,13.3,14.2,NA,"Meghalaya","","","",""
"1419","109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",5.8,3.4,3.8,NA,"Meghalaya","","","",""
"1420","110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",28.5,19.9,21.4,NA,"Meghalaya","","","",""
"1421","1. Female population age 6 years and above who ever attended school (%)",97.6,87.5,93.2,91.2,"Mizoram","","","",""
"1422","2. Population below age 15 years (%)",24.7,30.5,27.3,30,"Mizoram","","","",""
"1423","3. Sex ratio of the total population (females per 1,000 males)",1043,988,1018,1012,"Mizoram","","","",""
"1424","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",907,1038,969,949,"Mizoram","","","",""
"1425","5. Children under age 5 years whose birth was registered with the civil authority (%)",99.4,99.4,99.4,97.9,"Mizoram","","","",""
"1426","6. Deaths in the last 3 years registered with the civil authority (%)",90.4,85.2,88.4,NA,"Mizoram","","","",""
"1427","7. Population living in households with electricity (%)",99.6,96.4,98.2,96,"Mizoram","","","",""
"1428","8. Population living in households with an improved drinking-water source1 (%)",98.4,92.6,95.8,93.8,"Mizoram","","","",""
"1429","9. Population living in households that use an improved sanitation facility2 (%)",97.1,93.2,95.3,84.4,"Mizoram","","","",""
"1430","10. Households using clean fuel for cooking3 (%)",97.9,66.4,83.8,66.1,"Mizoram","","","",""
"1431","11. Households using iodized salt (%)",99.1,98.9,99,99,"Mizoram","","","",""
"1432","12. Households with any usual member covered under a health insurance/financing scheme (%)",41.2,52.8,46.4,45.8,"Mizoram","","","",""
"1433","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",6.9,3.2,5,NA,"Mizoram","","","",""
"1434","14. Women who are literate4 (%)",99.1,87.7,94.4,NA,"Mizoram","","","",""
"1435","15. Men who are literate4 (%)",99.2,94.2,97.1,NA,"Mizoram","","","",""
"1436","16. Women with 10 or more years of schooling (%)",62.3,32.7,50,39.9,"Mizoram","","","",""
"1437","17. Men with 10 or more years of schooling (%)",59.1,35.9,49.1,43.2,"Mizoram","","","",""
"1438","18. Women who have ever used the internet (%)",83.8,48,67.6,NA,"Mizoram","","","",""
"1439","19. Men who have ever used the internet (%)",92.7,63.9,79.7,NA,"Mizoram","","","",""
"1440","20. Women age 20-24 years married before age 18 years (%)",3.2,14,8,10.9,"Mizoram","","","",""
"1441","21. Men age 25-29 years married before age 21 years (%)",8.9,15,11,14.3,"Mizoram","","","",""
"1442","22. Total fertility rate (children per woman)",1.6,2.2,1.9,2.3,"Mizoram","","","",""
"1443","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",2.1,6.9,4.1,7.2,"Mizoram","","","",""
"1444","24. Adolescent fertility rate for women age 15-19 years5",9,42,22,38,"Mizoram","","","",""
"1445","25. Neonatal mortality rate (NNMR)",14.4,8.4,11.4,11.2,"Mizoram","","","",""
"1446","26. Infant mortality rate (IMR)",20.6,22,21.3,40.1,"Mizoram","","","",""
"1447","27. Under-five mortality rate (U5MR)",21.8,26.2,24,46,"Mizoram","","","",""
"1448","28. Any method6 (%)",29.1,33.5,31.2,35.3,"Mizoram","","","",""
"1449","29. Any modern method6 (%)",28.6,33.2,30.8,35.2,"Mizoram","","","",""
"1450","30. Female sterilization (%)",13.7,12.3,13,17.4,"Mizoram","","","",""
"1451","31. Male sterilization (%)",0,0,0,0,"Mizoram","","","",""
"1452","32. IUD/PPIUD (%)",2.4,3.2,2.8,3.4,"Mizoram","","","",""
"1453","33. Pill (%)",10.9,15.2,12.9,13.2,"Mizoram","","","",""
"1454","34. Condom (%)",1.5,2.3,1.9,1.3,"Mizoram","","","",""
"1455","35. Injectables (%)",0,0.2,0.1,0,"Mizoram","","","",""
"1456","36. Total unmet need7 (%)",21.4,16.1,18.9,20,"Mizoram","","","",""
"1457","37. Unmet need for spacing7 (%)",14.2,11.4,12.8,12.4,"Mizoram","","","",""
"1458","38. Health worker ever talked to female non-users about family planning (%)",11.8,18.5,14.5,14.2,"Mizoram","","","",""
"1459","39. Current users ever told about side effects of current method8 (%)",48.4,67.5,58.4,52.8,"Mizoram","","","",""
"1460","40. Mothers who had an antenatal check-up in the first trimester (%)",81,63.9,72.7,65.6,"Mizoram","","","",""
"1461","41. Mothers who had at least 4 antenatal care visits (%)",70.3,45,58,61.4,"Mizoram","","","",""
"1462","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",84.6,75.1,80,82.5,"Mizoram","","","",""
"1463","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",65,58.6,61.9,53.6,"Mizoram","","","",""
"1464","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",13.6,7.3,10.5,2.7,"Mizoram","","","",""
"1465","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",96,96.3,96.1,96.6,"Mizoram","","","",""
"1466","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",75.9,59.6,68,64.5,"Mizoram","","","",""
"1467","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",8840,4901,7008,4298,"Mizoram","","","",""
"1468","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,1.2,2,2.4,"Mizoram","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1469","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",39.7,33.9,36.9,NA,"Mizoram","","","",""
"1470","50. Institutional births (%)",98.8,72.5,85.8,79.7,"Mizoram","","","",""
"1471","51. Institutional births in public facility (%)",79.8,67.7,73.8,63.7,"Mizoram","","","",""
"1472","52. Home births that were conducted by skilled health personnel10 (%)",0.3,6.7,3.5,3.9,"Mizoram","","","",""
"1473","53. Births attended by skilled health personnel10 (%)",99.1,76,87.7,83.6,"Mizoram","","","",""
"1474","54. Births delivered by caesarean section (%)",16.8,4.8,10.8,12.7,"Mizoram","","","",""
"1475","55. Births in a private health facility that were delivered by caesarean section (%)",30.7,29.4,30.4,30.1,"Mizoram","","","",""
"1476","56. Births in a public health facility that were delivered by caesarean section (%)",13.7,5,9.8,12.3,"Mizoram","","","",""
"1477","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",69.6,75.2,72.5,50.7,"Mizoram","","","",""
"1478","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",82.2,85.1,83.7,71.3,"Mizoram","","","",""
"1479","59. Children age 12-23 months who have received BCG (%)",81.5,85.2,83.4,75.3,"Mizoram","","","",""
"1480","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",73.9,78.2,76.2,61.8,"Mizoram","","","",""
"1481","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",81.6,80,80.7,61.9,"Mizoram","","","",""
"1482","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",79.9,81.9,80.9,61.3,"Mizoram","","","",""
"1483","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",35,17.4,25.8,NA,"Mizoram","","","",""
"1484","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",14.4,0.6,7.2,NA,"Mizoram","","","",""
"1485","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",74.6,78.1,76.4,57,"Mizoram","","","",""
"1486","66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%)",69.3,61.1,65.3,68.6,"Mizoram","","","",""
"1487","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",94.8,98.7,96.9,92.4,"Mizoram","","","",""
"1488","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",5.2,0,2.4,7,"Mizoram","","","",""
"1489","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",4.8,3.7,4.3,7.6,"Mizoram","","","",""
"1490","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",59.9,86.5,71.4,70,"Mizoram","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","",""
"1491","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",26,34.9,29.8,29,"Mizoram","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","",""
"1492","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",49.8,37.7,44.6,42,"Mizoram","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases","",""
"1493","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",0.9,0.2,0.6,2.2,"Mizoram","","","",""
"1494","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",56.8,45.8,53,50.1,"Mizoram","","","",""
"1495","75. Children under age 3 years breastfed within one hour of birth15 (%)",61.5,58.6,60.1,70.3,"Mizoram","","","",""
"1496","76. Children under age 6 months exclusively breastfed16 (%)",74.3,62.2,67.9,61.1,"Mizoram","","","",""
"1497","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",63.6,46.6,56.9,68.2,"Mizoram","Based on 25-49 unweighted cases","","",""
"1498","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",16.2,8.3,12.5,14.6,"Mizoram","","","",""
"1499","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",13.9,22.3,18.5,13.3,"Mizoram","Based on 25-49 unweighted cases","","",""
"1500","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",15.9,10.8,13.4,14.5,"Mizoram","","","",""
"1501","81. Children under 5 years who are stunted (height-for-age)18 (%)",25.5,31.9,28.9,28.1,"Mizoram","","","",""
"1502","82. Children under 5 years who are wasted (weight-for-height)18 (%)",8.3,11.2,9.8,6.1,"Mizoram","","","",""
"1503","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",3.6,6.1,4.9,2.3,"Mizoram","","","",""
"1504","84. Children under 5 years who are underweight (weight-for-age)18 (%)",9.3,15.8,12.7,12,"Mizoram","","","",""
"1505","85. Children under 5 years who are overweight (weight-for-height)20 (%)",12.1,8.1,10,4.2,"Mizoram","","","",""
"1506","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",4.2,6.8,5.3,8.4,"Mizoram","","","",""
"1507","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",2.6,8,5.1,7.3,"Mizoram","","","",""
"1508","88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",29.7,16.9,24.2,21,"Mizoram","","","",""
"1509","89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%)",38.3,24.2,31.9,20.9,"Mizoram","","","",""
"1510","90. Women who have high risk waist-to-hip ratio (≥0.85) (%)",47.8,47.3,47.6,NA,"Mizoram","","","",""
"1511","91. Men who have high risk waist-to-hip ratio (≥0.90) (%)",30.1,25.6,28.1,NA,"Mizoram","","","",""
"1512","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",42.8,49.6,46.4,19.3,"Mizoram","","","",""
"1513","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",30.8,40.1,34.8,24.7,"Mizoram","","","",""
"1514","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",31.9,35.9,34,27,"Mizoram","","","",""
"1515","95. All women age 15-49 years who are anaemic22 (%)",30.8,39.9,34.8,24.8,"Mizoram","","","",""
"1516","96. All women age 15-19 years who are anaemic22 (%)",30.3,40.8,34.9,21.3,"Mizoram","","","",""
"1517","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",13.3,18.3,15.6,12.1,"Mizoram","","","",""
"1518","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",23.8,18.9,21.5,14.4,"Mizoram","","","",""
"1519","99. Blood sugar level - high (141-160 mg/dl)23 (%)",6.9,6.9,6.9,NA,"Mizoram","","","",""
"1520","100. Blood sugar level - very high (>160 mg/dl)23 (%)",6.7,4.6,5.7,NA,"Mizoram","","","",""
"1521","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",15,12.3,13.8,NA,"Mizoram","","","",""
"1522","102. Blood sugar level - high (141-160 mg/dl)23 (%)",7.3,8.3,7.8,NA,"Mizoram","","","",""
"1523","103. Blood sugar level - very high (>160 mg/dl)23 (%)",6.7,5.2,6,NA,"Mizoram","","","",""
"1524","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",16.4,14.3,15.4,NA,"Mizoram","","","",""
"1525","105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",12.3,8.7,10.7,NA,"Mizoram","","","",""
"1526","106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",3.3,3,3.2,NA,"Mizoram","","","",""
"1527","107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",21,13.5,17.7,NA,"Mizoram","","","",""
"1528","108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",17,15.2,16.2,NA,"Mizoram","","","",""
"1529","109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",6.4,4.2,5.4,NA,"Mizoram","","","",""
"1530","110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",28.7,21.1,25.2,NA,"Mizoram","","","",""
"1531","111. Ever undergone a screening test for cervical cancer (%)",9.4,3.3,6.9,NA,"Mizoram","","","",""
"1532","112. Ever undergone a breast examination for breast cancer (%)",3.6,1.3,2.7,NA,"Mizoram","","","",""
"1533","113. Ever undergone an oral cavity examination for oral cancer (%)",1.4,0.3,0.9,NA,"Mizoram","","","",""
"1534","114. Ever undergone an oral cavity examination for oral cancer (%)",0.2,2.4,1.2,NA,"Mizoram","","","",""
"1535","115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",70.8,56,64.1,66.2,"Mizoram","","","",""
"1536","116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",66.6,64.3,65.6,68.3,"Mizoram","","","",""
"1537","117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",95.7,86,91.3,91.2,"Mizoram","","","",""
"1538","118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",98.6,90.5,95.1,94,"Mizoram","","","",""
"1539","119. Currently married women who usually participate in three household decisions25 (%)",99.6,98,98.8,96,"Mizoram","","","",""
"1540","120. Women who worked in the last 12 months and were paid in cash (%)",29.4,29,29.2,29.4,"Mizoram","","","",""
"1541","121. Women owning a house and/or land (alone or jointly with others) (%)",14.5,28.4,20.8,19.6,"Mizoram","","","",""
"1542","122. Women having a bank or savings account that they themselves use (%)",85.4,75,80.7,57.1,"Mizoram","","","",""
"1543","123. Women having a mobile phone that they themselves use (%)",91.8,70.6,82.3,77,"Mizoram","","","",""
"1544","124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",93.6,84.6,89.8,93.4,"Mizoram","","","",""
"1545","125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",11.3,10.3,10.9,17.1,"Mizoram","","","",""
"1546","126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",0.9,0.4,0.7,2.1,"Mizoram","","","",""
"1547","127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",1.4,2.7,2,4,"Mizoram","","","",""
"1548","128. Women age 15 years and above who use any kind of tobacco (%)",56.6,68.5,61.6,NA,"Mizoram","","","",""
"1549","129. Men age 15 years and above who use any kind of tobacco (%)",69.5,77.4,72.9,NA,"Mizoram","","","",""
"1550","130. Women age 15 years and above who consume alcohol (%)",1,0.8,0.9,NA,"Mizoram","","","",""
"1551","131. Men age 15 years and above who consume alcohol (%)",22.8,25.2,23.8,NA,"Mizoram","","","",""
"1552","1. Female population age 6 years and above who ever attended school (%)",92.1,81.9,85.2,81,"Nagaland","","","",""
"1553","2. Population below age 15 years (%)",22.1,25.9,24.7,32.1,"Nagaland","","","",""
"1554","3. Sex ratio of the total population (females per 1,000 males)",980,1020,1007,968,"Nagaland","","","",""
"1555","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",949,943,945,953,"Nagaland","","","",""
"1556","5. Children under age 5 years whose birth was registered with the civil authority (%)",79.9,70.8,73.2,68.5,"Nagaland","","","",""
"1557","6. Deaths in the last 3 years registered with the civil authority (%)",59.3,33.8,40.3,NA,"Nagaland","","","",""
"1558","7. Population living in households with electricity (%)",99.6,98,98.6,96.7,"Nagaland","","","",""
"1559","8. Population living in households with an improved drinking-water source1 (%)",93.5,89.8,91,82.4,"Nagaland","","","",""
"1560","9. Population living in households that use an improved sanitation facility2 (%)",82.2,90.4,87.7,76.7,"Nagaland","","","",""
"1561","10. Households using clean fuel for cooking3 (%)",81.1,24.9,43,32.8,"Nagaland","","","",""
"1562","11. Households using iodized salt (%)",99.3,98.8,99,99.5,"Nagaland","","","",""
"1563","12. Households with any usual member covered under a health insurance/financing scheme (%)",15,23.1,20.5,6.1,"Nagaland","","","",""
"1564","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",5.5,6.3,6.1,NA,"Nagaland","","","",""
"1565","14. Women who are literate4 (%)",91.5,82.7,85.8,NA,"Nagaland","","","",""
"1566","15. Men who are literate4 (%)",97.7,90.7,93.3,NA,"Nagaland","","","",""
"1567","16. Women with 10 or more years of schooling (%)",63.7,34.1,44.4,33.3,"Nagaland","","","",""
"1568","17. Men with 10 or more years of schooling (%)",75.6,39.8,53.1,37.7,"Nagaland","","","",""
"1569","18. Women who have ever used the internet (%)",66.5,40.3,49.9,NA,"Nagaland","","","",""
"1570","19. Men who have ever used the internet (%)",81,55.2,64.6,NA,"Nagaland","","","",""
"1571","20. Women age 20-24 years married before age 18 years (%)",2.4,7.3,5.6,13.4,"Nagaland","","","",""
"1572","21. Men age 25-29 years married before age 21 years (%)",8.7,2.8,5,8,"Nagaland","","","",""
"1573","22. Total fertility rate (children per woman)",1.2,2,1.7,2.7,"Nagaland","","","",""
"1574","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",2.5,4.4,3.8,5.7,"Nagaland","","","",""
"1575","24. Adolescent fertility rate for women age 15-19 years5",10,23,19,42,"Nagaland","","","",""
"1576","25. Neonatal mortality rate (NNMR)",8.4,10.8,10.2,16.5,"Nagaland","","","",""
"1577","26. Infant mortality rate (IMR)",17,25.8,23.4,29.5,"Nagaland","","","",""
"1578","27. Under-five mortality rate (U5MR)",22.5,36.8,33,37.5,"Nagaland","","","",""
"1579","28. Any method6 (%)",61,55.7,57.4,26.5,"Nagaland","","","",""
"1580","29. Any modern method6 (%)",48.5,43.8,45.3,21.3,"Nagaland","","","",""
"1581","30. Female sterilization (%)",13.6,14.8,14.4,9.1,"Nagaland","","","",""
"1582","31. Male sterilization (%)",0,0,0,0,"Nagaland","","","",""
"1583","32. IUD/PPIUD (%)",20.1,19.7,19.8,6.7,"Nagaland","","","",""
"1584","33. Pill (%)",9.1,5.1,6.4,4,"Nagaland","","","",""
"1585","34. Condom (%)",4.2,2.8,3.3,1.3,"Nagaland","","","",""
"1586","35. Injectables (%)",0.2,0.4,0.3,0.1,"Nagaland","","","",""
"1587","36. Total unmet need7 (%)",9.3,9.1,9.1,22.3,"Nagaland","","","",""
"1588","37. Unmet need for spacing7 (%)",4.3,4.5,4.5,11.3,"Nagaland","","","",""
"1589","38. Health worker ever talked to female non-users about family planning (%)",8.9,10.2,9.7,6.4,"Nagaland","","","",""
"1590","39. Current users ever told about side effects of current method8 (%)",55.3,62.4,60.2,32,"Nagaland","","","",""
"1591","40. Mothers who had an antenatal check-up in the first trimester (%)",64.5,43.6,49.5,24.7,"Nagaland","","","",""
"1592","41. Mothers who had at least 4 antenatal care visits (%)",39.9,13.1,20.7,15,"Nagaland","","","",""
"1593","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",89.3,78.1,81.3,63.7,"Nagaland","","","",""
"1594","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",16.5,7.7,10.2,4.4,"Nagaland","","","",""
"1595","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",6.7,3.1,4.1,2.2,"Nagaland","","","",""
"1596","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",91.8,92.7,92.4,73.6,"Nagaland","","","",""
"1597","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",62.9,36.3,43.9,22.3,"Nagaland","","","",""
"1598","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",7035,5175,5778,5880,"Nagaland","","","",""
"1599","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",0.6,0.6,0.6,0.1,"Nagaland","","","",""
"1600","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",59.2,34.9,41.8,NA,"Nagaland","","","",""
"1601","50. Institutional births (%)",65,38.8,45.7,32.8,"Nagaland","","","",""
"1602","51. Institutional births in public facility (%)",41.5,33.7,35.8,25.1,"Nagaland","","","",""
"1603","52. Home births that were conducted by skilled health personnel10 (%)",11.6,9.9,10.4,8.8,"Nagaland","","","",""
"1604","53. Births attended by skilled health personnel10 (%)",75.4,48.2,55.3,41.3,"Nagaland","","","",""
"1605","54. Births delivered by caesarean section (%)",9.8,3.6,5.2,5.8,"Nagaland","","","",""
"1606","55. Births in a private health facility that were delivered by caesarean section (%)",19.7,30.1,23.6,31.5,"Nagaland","","","",""
"1607","56. Births in a public health facility that were delivered by caesarean section (%)",12.5,6.1,8,13.4,"Nagaland","","","",""
"1608","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",68.9,53.7,57.9,35.4,"Nagaland","","","",""
"1609","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",77,68.8,71.3,61.9,"Nagaland","","","",""
"1610","59. Children age 12-23 months who have received BCG (%)",88.8,84.3,85.5,68.1,"Nagaland","","","",""
"1611","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",72,63,65.4,52.1,"Nagaland","","","",""
"1612","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",80.6,68.1,71.5,51.6,"Nagaland","","","",""
"1613","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",83.6,70.1,73.8,50.1,"Nagaland","","","",""
"1614","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",25.2,18.7,20.5,NA,"Nagaland","","","",""
"1615","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",11.4,4.6,6.5,NA,"Nagaland","","","",""
"1616","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",76.5,62.6,66.4,45.3,"Nagaland","","","",""
"1617","66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%)",56,40.1,44.4,27.2,"Nagaland","","","",""
"1618","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",89.2,94.8,93.2,91.6,"Nagaland","","","",""
"1619","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",10,1.8,4.1,7.9,"Nagaland","","","",""
"1620","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",1.5,4.1,3.4,5.1,"Nagaland","","","",""
"1621","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,54.4,54.5,40.3,"Nagaland","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1622","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,6.5,9.1,16,"Nagaland","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1623","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,29.2,31.5,21.8,"Nagaland","Percentage not shown; based on fewer than 25 unweighted cases","","",""
"1624","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",1,1.1,1.1,1.4,"Nagaland","","","",""
"1625","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",46,24.4,30.9,31.3,"Nagaland","","","",""
"1626","75. Children under age 3 years breastfed within one hour of birth15 (%)",54.3,59.2,57.9,53.1,"Nagaland","","","",""
"1627","76. Children under age 6 months exclusively breastfed16 (%)",43.2,43.2,43.2,44.3,"Nagaland","Based on 25-49 unweighted cases","","",""
"1628","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",67.6,70,69.4,70.7,"Nagaland","Based on 25-49 unweighted cases","","",""
"1629","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",9.8,13.4,12.6,17.5,"Nagaland","","","",""
"1630","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",23.5,15.4,18,21.9,"Nagaland","","","",""
"1631","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",15.8,14.1,14.5,18.8,"Nagaland","","","",""
"1632","81. Children under 5 years who are stunted (height-for-age)18 (%)",27.1,34.7,32.7,28.6,"Nagaland","","","",""
"1633","82. Children under 5 years who are wasted (weight-for-height)18 (%)",21.7,18.2,19.1,11.3,"Nagaland","","","",""
"1634","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",11,6.8,7.9,4.2,"Nagaland","","","",""
"1635","84. Children under 5 years who are underweight (weight-for-age)18 (%)",24.5,27.7,26.9,16.7,"Nagaland","","","",""
